"years","school","position","career","name","year"
"1976–1980","East Carolina","Defensive back","Playing","Ruffin McNeil",1978
"1976–1980","East Carolina","Defensive back","Playing","Ruffin McNeil",1979
"1976–1980","East Carolina","Defensive back","Playing","Ruffin McNeil",1980
"1975–1976","Diablo Valley","Wide receiver","Playing","Ron Turner",1975
"1975–1976","Diablo Valley","Wide receiver","Playing","Ron Turner",1976
"1973–1974","Pacific","Wide receiver","Playing","Ron Turner",1973
"1973–1974","Pacific","Wide receiver","Playing","Ron Turner",1974
"1986","Notre Dame","Wide receiver","Playing","Skip Holtz",1986
"1976–1978","West Virginia","Linebacker","Playing","Doc Holliday",1976
"1976–1978","West Virginia","Linebacker","Playing","Doc Holliday",1977
"1976–1978","West Virginia","Linebacker","Playing","Doc Holliday",1978
"1977–1981","Florida State","Quarterback","Playing","Rick Stockstill",1977
"1977–1981","Florida State","Quarterback","Playing","Rick Stockstill",1978
"1977–1981","Florida State","Quarterback","Playing","Rick Stockstill",1979
"1977–1981","Florida State","Quarterback","Playing","Rick Stockstill",1980
"1977–1981","Florida State","Quarterback","Playing","Rick Stockstill",1981
"1972–1974","Iowa","Offensive lineman","Playing","Dan McCarney",1972
"1972–1974","Iowa","Offensive lineman","Playing","Dan McCarney",1973
"1972–1974","Iowa","Offensive lineman","Playing","Dan McCarney",1974
"1978–1980","Southwest Texas State","Offensive lineman","Playing","David Bailiff",1978
"1978–1980","Southwest Texas State","Offensive lineman","Playing","David Bailiff",1979
"1978–1980","Southwest Texas State","Offensive lineman","Playing","David Bailiff",1980
"1985–1988","Knox","Quarterback","Playing","Todd Monken",1985
"1985–1988","Knox","Quarterback","Playing","Todd Monken",1986
"1985–1988","Knox","Quarterback","Playing","Todd Monken",1987
"1985–1988","Knox","Quarterback","Playing","Todd Monken",1988
"1980–1983","Idaho","Wide receiver","Playing","Curtis Johnson",1980
"1980–1983","Idaho","Wide receiver","Playing","Curtis Johnson",1981
"1980–1983","Idaho","Wide receiver","Playing","Curtis Johnson",1982
"1980–1983","Idaho","Wide receiver","Playing","Curtis Johnson",1983
"1975–1979","Tulsa","Quarterback","Playing","Bill Blankenship",1975
"1975–1979","Tulsa","Quarterback","Playing","Bill Blankenship",1976
"1975–1979","Tulsa","Quarterback","Playing","Bill Blankenship",1977
"1975–1979","Tulsa","Quarterback","Playing","Bill Blankenship",1978
"1975–1979","Tulsa","Quarterback","Playing","Bill Blankenship",1979
"1993","Arizona State","Quarterback","Playing","Garrick McGee",1993
"1994–1995","Northeastern Oklahoma A&MOklahoma","Quarterback","Playing","Garrick McGee",1994
"1994–1995","Northeastern Oklahoma A&MOklahoma","Quarterback","Playing","Garrick McGee",1995
"1984–1988","University of Texas-El Paso","Offensive Lineman","Playing","Sean Kugler",1984
"1984–1988","University of Texas-El Paso","Offensive Lineman","Playing","Sean Kugler",1985
"1984–1988","University of Texas-El Paso","Offensive Lineman","Playing","Sean Kugler",1986
"1984–1988","University of Texas-El Paso","Offensive Lineman","Playing","Sean Kugler",1987
"1984–1988","University of Texas-El Paso","Offensive Lineman","Playing","Sean Kugler",1988
"1974–1976","Hawaii","Center, linebacker","Playing","Rich Ellerson",1974
"1974–1976","Hawaii","Center, linebacker","Playing","Rich Ellerson",1975
"1974–1976","Hawaii","Center, linebacker","Playing","Rich Ellerson",1976
"1986–1987","Snow College","Defensive back","Playing","Bronco Mendenhall",1986
"1986–1987","Snow College","Defensive back","Playing","Bronco Mendenhall",1987
"1984–1985","Oregon State","Defensive back","Playing","Bronco Mendenhall",1984
"1984–1985","Oregon State","Defensive back","Playing","Bronco Mendenhall",1985
"1985–1988","Carroll","Quarterback","Playing","Paul Petrino",1985
"1985–1988","Carroll","Quarterback","Playing","Paul Petrino",1986
"1985–1988","Carroll","Quarterback","Playing","Paul Petrino",1987
"1985–1988","Carroll","Quarterback","Playing","Paul Petrino",1988
"1987–1989","Hawaii","Quarterback","Playing","Ken Niumatalolo",1987
"1987–1989","Hawaii","Quarterback","Playing","Ken Niumatalolo",1988
"1987–1989","Hawaii","Quarterback","Playing","Ken Niumatalolo",1989
"1981–1984","Kentucky","Quarterback","Playing","Doug Martin",1981
"1981–1984","Kentucky","Quarterback","Playing","Doug Martin",1982
"1981–1984","Kentucky","Quarterback","Playing","Doug Martin",1983
"1981–1984","Kentucky","Quarterback","Playing","Doug Martin",1984
"1979–1982","Assumption","Linebacker","Playing","Brian Kelly",1979
"1979–1982","Assumption","Linebacker","Playing","Brian Kelly",1980
"1979–1982","Assumption","Linebacker","Playing","Brian Kelly",1981
"1979–1982","Assumption","Linebacker","Playing","Brian Kelly",1982
"1977–1978","West Virginia","Running back","Playing","Terry Bowden",1977
"1977–1978","West Virginia","Running back","Playing","Terry Bowden",1978
"1988–1991","Georgetown","Offensive lineman","Playing","Pete Lembo",1988
"1988–1991","Georgetown","Offensive lineman","Playing","Pete Lembo",1989
"1988–1991","Georgetown","Offensive lineman","Playing","Pete Lembo",1990
"1988–1991","Georgetown","Offensive lineman","Playing","Pete Lembo",1991
"1985–1988","Williams","Defensive Back","Playing","Dave Clawson",1985
"1985–1988","Williams","Defensive Back","Playing","Dave Clawson",1986
"1985–1988","Williams","Defensive Back","Playing","Dave Clawson",1987
"1985–1988","Williams","Defensive Back","Playing","Dave Clawson",1988
"1980–1983","Elmhurst","Lineman","Playing","Jeff Quinn",1980
"1980–1983","Elmhurst","Lineman","Playing","Jeff Quinn",1981
"1980–1983","Elmhurst","Lineman","Playing","Jeff Quinn",1982
"1980–1983","Elmhurst","Lineman","Playing","Jeff Quinn",1983
"1987–1990","Michigan State","Quarterback","Playing","Dan Enos",1987
"1987–1990","Michigan State","Quarterback","Playing","Dan Enos",1988
"1987–1990","Michigan State","Quarterback","Playing","Dan Enos",1989
"1987–1990","Michigan State","Quarterback","Playing","Dan Enos",1990
"1965–1968","Heidelberg","Defensive back","Playing","Stan Parrish",1965
"1965–1968","Heidelberg","Defensive back","Playing","Stan Parrish",1966
"1965–1968","Heidelberg","Defensive back","Playing","Stan Parrish",1967
"1965–1968","Heidelberg","Defensive back","Playing","Stan Parrish",1968
"1987–1991","Kent State","Defensive back","Playing","Paul Haynes",1987
"1987–1991","Kent State","Defensive back","Playing","Paul Haynes",1988
"1987–1991","Kent State","Defensive back","Playing","Paul Haynes",1989
"1987–1991","Kent State","Defensive back","Playing","Paul Haynes",1990
"1987–1991","Kent State","Defensive back","Playing","Paul Haynes",1991
"1997–2000","Miami","Quarterback","Playing","Mike Bath",1997
"1997–2000","Miami","Quarterback","Playing","Mike Bath",1998
"1997–2000","Miami","Quarterback","Playing","Mike Bath",1999
"1997–2000","Miami","Quarterback","Playing","Mike Bath",2000
"1990–1993","Indiana","Center","Playing","Rod Carey",1990
"1990–1993","Indiana","Center","Playing","Rod Carey",1991
"1990–1993","Indiana","Center","Playing","Rod Carey",1992
"1990–1993","Indiana","Center","Playing","Rod Carey",1993
"1963–1965","Nebraska","Fullback","Playing","Frank Solich",1963
"1963–1965","Nebraska","Fullback","Playing","Frank Solich",1964
"1963–1965","Nebraska","Fullback","Playing","Frank Solich",1965
"1999–2003","Northern Illinois","Wide receiver","Playing","P. J. Fleck",1999
"1999–2003","Northern Illinois","Wide receiver","Playing","P. J. Fleck",2000
"1999–2003","Northern Illinois","Wide receiver","Playing","P. J. Fleck",2001
"1999–2003","Northern Illinois","Wide receiver","Playing","P. J. Fleck",2002
"1999–2003","Northern Illinois","Wide receiver","Playing","P. J. Fleck",2003
"2004–2005","San Francisco 49ers","Wide receiver","Playing","P. J. Fleck",2004
"2004–2005","San Francisco 49ers","Wide receiver","Playing","P. J. Fleck",2005
"1985–1988","Air Force","Quarterback","Playing","Troy Calhoun",1985
"1985–1988","Air Force","Quarterback","Playing","Troy Calhoun",1986
"1985–1988","Air Force","Quarterback","Playing","Troy Calhoun",1987
"1985–1988","Air Force","Quarterback","Playing","Troy Calhoun",1988
"1985–1986","Sacramento C.C.[2]UC Davis","Quarterback","Playing","Chris Petersen",1985
"1985–1986","Sacramento C.C.[2]UC Davis","Quarterback","Playing","Chris Petersen",1986
"1980–1983","Eastern Washington","Quarterback","Playing","Jim McElwain",1980
"1980–1983","Eastern Washington","Quarterback","Playing","Jim McElwain",1981
"1980–1983","Eastern Washington","Quarterback","Playing","Jim McElwain",1982
"1980–1983","Eastern Washington","Quarterback","Playing","Jim McElwain",1983
"1982–1984","Air Force","Outside linebacker","Playing","Tim DeRuyter",1982
"1982–1984","Air Force","Outside linebacker","Playing","Tim DeRuyter",1983
"1982–1984","Air Force","Outside linebacker","Playing","Tim DeRuyter",1984
"1965–1967","Utah","Guard","Playing","Norm Chow",1965
"1965–1967","Utah","Guard","Playing","Norm Chow",1966
"1965–1967","Utah","Guard","Playing","Norm Chow",1967
"1994–1996","John Carroll","Linebacker","Playing","Brian Polian",1994
"1994–1996","John Carroll","Linebacker","Playing","Brian Polian",1995
"1994–1996","John Carroll","Linebacker","Playing","Brian Polian",1996
"1973–1975","Youngstown State","Tight end","Playing","Bob Davie",1973
"1973–1975","Youngstown State","Tight end","Playing","Bob Davie",1974
"1973–1975","Youngstown State","Tight end","Playing","Bob Davie",1975
"1972–1973","New Mexico","Defensive back, quarterback","Playing","Rocky Long",1972
"1972–1973","New Mexico","Defensive back, quarterback","Playing","Rocky Long",1973
"1974","BC Lions","Defensive back, quarterback","Playing","Rocky Long",1974
"1975–1977","Detroit Wheels","Defensive back, quarterback","Playing","Rocky Long",1975
"1975–1977","Detroit Wheels","Defensive back, quarterback","Playing","Rocky Long",1976
"1975–1977","Detroit Wheels","Defensive back, quarterback","Playing","Rocky Long",1977
"1969–1971","BC Lions","Defensive back, quarterback","Playing","Rocky Long",1969
"1969–1971","BC Lions","Defensive back, quarterback","Playing","Rocky Long",1970
"1969–1971","BC Lions","Defensive back, quarterback","Playing","Rocky Long",1971
"1986–1989","UCLA","Quarterback","Playing","Ron Caragher",1986
"1986–1989","UCLA","Quarterback","Playing","Ron Caragher",1987
"1986–1989","UCLA","Quarterback","Playing","Ron Caragher",1988
"1986–1989","UCLA","Quarterback","Playing","Ron Caragher",1989
"1993–1996","Utah State","Quarterback","Playing","Matt Wells",1993
"1993–1996","Utah State","Quarterback","Playing","Matt Wells",1994
"1993–1996","Utah State","Quarterback","Playing","Matt Wells",1995
"1993–1996","Utah State","Quarterback","Playing","Matt Wells",1996
"1980–1982","Washington","NA","Playing","Dave Christensen",1980
"1980–1982","Washington","NA","Playing","Dave Christensen",1981
"1980–1982","Washington","NA","Playing","Dave Christensen",1982
"1981–1984","West Virginia","Defensive back","Playing","Rich Rodriguez",1981
"1981–1984","West Virginia","Defensive back","Playing","Rich Rodriguez",1982
"1981–1984","West Virginia","Defensive back","Playing","Rich Rodriguez",1983
"1981–1984","West Virginia","Defensive back","Playing","Rich Rodriguez",1984
"1983–1986","East Central","Defensive back","Playing","Todd Graham",1983
"1983–1986","East Central","Defensive back","Playing","Todd Graham",1984
"1983–1986","East Central","Defensive back","Playing","Todd Graham",1985
"1983–1986","East Central","Defensive back","Playing","Todd Graham",1986
"1989–1993","Texas Tech","First baseman","Playing","Sonny Dykes",1989
"1989–1993","Texas Tech","First baseman","Playing","Sonny Dykes",1990
"1989–1993","Texas Tech","First baseman","Playing","Sonny Dykes",1991
"1989–1993","Texas Tech","First baseman","Playing","Sonny Dykes",1992
"1989–1993","Texas Tech","First baseman","Playing","Sonny Dykes",1993
"1987–1988","Vanderbilt","Defensive back","Playing","Mike MacIntyre",1987
"1987–1988","Vanderbilt","Defensive back","Playing","Mike MacIntyre",1988
"1984–1985","Georgia Tech","Defensive back","Playing","Mike MacIntyre",1984
"1984–1985","Georgia Tech","Defensive back","Playing","Mike MacIntyre",1985
"1997","Southern Oregon","Quarterback","Playing","Mark Helfrich",1997
"1992-1995","Vienna Austria","Quarterback","Playing","Mark Helfrich",1992
"1992-1995","Vienna Austria","Quarterback","Playing","Mark Helfrich",1993
"1992-1995","Vienna Austria","Quarterback","Playing","Mark Helfrich",1994
"1992-1995","Vienna Austria","Quarterback","Playing","Mark Helfrich",1995
"1971–1974","Alabama","Defensive back","Playing","Mike Riley",1971
"1971–1974","Alabama","Defensive back","Playing","Mike Riley",1972
"1971–1974","Alabama","Defensive back","Playing","Mike Riley",1973
"1971–1974","Alabama","Defensive back","Playing","Mike Riley",1974
"1991–1994","Stanford","Wide receiver","Playing","David Shaw",1991
"1991–1994","Stanford","Wide receiver","Playing","David Shaw",1992
"1991–1994","Stanford","Wide receiver","Playing","David Shaw",1993
"1991–1994","Stanford","Wide receiver","Playing","David Shaw",1994
"1980–1983","Washington","Defensive back / Linebacker","Playing","Jim L. Mora",1980
"1980–1983","Washington","Defensive back / Linebacker","Playing","Jim L. Mora",1981
"1980–1983","Washington","Defensive back / Linebacker","Playing","Jim L. Mora",1982
"1980–1983","Washington","Defensive back / Linebacker","Playing","Jim L. Mora",1983
"1981–1984","Northwestern State","Defensive lineman","Playing","Ed Orgeron",1981
"1981–1984","Northwestern State","Defensive lineman","Playing","Ed Orgeron",1982
"1981–1984","Northwestern State","Defensive lineman","Playing","Ed Orgeron",1983
"1981–1984","Northwestern State","Defensive lineman","Playing","Ed Orgeron",1984
"1983","BYUDenver Gold","Linebacker","Playing","Kyle Whittingham",1983
"1984","New Orleans Breakers","Linebacker","Playing","Kyle Whittingham",1984
"1987","Los Angeles Rams","Linebacker","Playing","Kyle Whittingham",1987
"1993–1994","El Camino","Quarterback","Playing","Steve Sarkisian",1993
"1993–1994","El Camino","Quarterback","Playing","Steve Sarkisian",1994
"1995–1996","BYUSaskatchewan Roughriders","Quarterback","Playing","Steve Sarkisian",1995
"1995–1996","BYUSaskatchewan Roughriders","Quarterback","Playing","Steve Sarkisian",1996
"1997–1999","El Camino","Quarterback","Playing","Steve Sarkisian",1997
"1997–1999","El Camino","Quarterback","Playing","Steve Sarkisian",1998
"1997–1999","El Camino","Quarterback","Playing","Steve Sarkisian",1999
"1970–1971","Kent State","Defensive back","Playing","Nick Saban",1970
"1970–1971","Kent State","Defensive back","Playing","Nick Saban",1971
"1994","Iowa","Nose guard","Playing","Bret Bielema",1994
"1989–1992","Milwaukee Mustangs","Nose guard","Playing","Bret Bielema",1989
"1989–1992","Milwaukee Mustangs","Nose guard","Playing","Bret Bielema",1990
"1989–1992","Milwaukee Mustangs","Nose guard","Playing","Bret Bielema",1991
"1989–1992","Milwaukee Mustangs","Nose guard","Playing","Bret Bielema",1992
"1987–1989","Arkansas","Wide receiver","Playing","Gus Malzahn",1987
"1987–1989","Arkansas","Wide receiver","Playing","Gus Malzahn",1988
"1987–1989","Arkansas","Wide receiver","Playing","Gus Malzahn",1989
"1984–1985","Henderson State","Wide receiver","Playing","Gus Malzahn",1984
"1984–1985","Henderson State","Wide receiver","Playing","Gus Malzahn",1985
"1991–1994","Georgia","Safety","Playing","Will Muschamp",1991
"1991–1994","Georgia","Safety","Playing","Will Muschamp",1992
"1991–1994","Georgia","Safety","Playing","Will Muschamp",1993
"1991–1994","Georgia","Safety","Playing","Will Muschamp",1994
"1986–1988","Iowa","Defensive back","Playing","Mark Stoops",1986
"1986–1988","Iowa","Defensive back","Playing","Mark Stoops",1987
"1986–1988","Iowa","Defensive back","Playing","Mark Stoops",1988
"1974–1975","Michigan","Offensive lineman","Playing","Les Miles",1974
"1974–1975","Michigan","Offensive lineman","Playing","Les Miles",1975
"1992–1993","Ursinus","Tight end","Playing","Dan Mullen",1992
"1992–1993","Ursinus","Tight end","Playing","Dan Mullen",1993
"1970–1973","Kent State","Tight end","Playing","Gary Pinkel",1970
"1970–1973","Kent State","Tight end","Playing","Gary Pinkel",1971
"1970–1973","Kent State","Tight end","Playing","Gary Pinkel",1972
"1970–1973","Kent State","Tight end","Playing","Gary Pinkel",1973
"1987–1989","Ferris State","NA","Playing","Butch Jones",1987
"1987–1989","Ferris State","NA","Playing","Butch Jones",1988
"1987–1989","Ferris State","NA","Playing","Butch Jones",1989
"1983–1986","Purdue","Linebacker","Playing","Kevin Sumlin",1983
"1983–1986","Purdue","Linebacker","Playing","Kevin Sumlin",1984
"1983–1986","Purdue","Linebacker","Playing","Kevin Sumlin",1985
